text,label,FOOD_usefulness,FOOD_score,LOCATION_usefulness,LOCATION_score,ATOMSPHERE_usefulness,ATOMSPHERE_score,SERVICE_usefulness,SERVICE_score,PRICE_usefulness,PRICE_score,MENU_usefulness,MENU_score,SPEED_usefulness,SPEED_score
"Ate here during my stay in French Quarters. Loved it. It was literally the first thing I a right off the plane because of its
Proximity to the hotel. Whoever suggested to eat there during the day was absolutely right. Because it's right on Bourbon St, it gets busy and the line is well over a 20 minute wait. We were able to walk right in. Even if it's a line, the staff works with all different party sizes to get you in and eating as soon as possible. The staff are real locals and that made me comfortable. Not sure how that's a bad thing. Again this is a comfort restaurant. Food was a bit pricey but certainly worth it. Hands down...best Oysters you'll find out here.",2,1.0,5.0,1.0,5.0,0.10498047,4.625,1.0,5.0,1.0,3.03125,0.20410156,4.15625,0.55859375,4.6875
"Seriously tasty fast Mexican burrito fast food, ... Just about any time of day. Breakfast here is a must after a long night of drinking in the Bripp.",2,1.0,5.0,0.016235352,4.90625,2.7120113e-06,2.609375,6.217249e-13,4.21875,5.0093263e-13,4.40625,0.007080078,4.4375,0.74609375,4.96875
Great food and service. Went out of the way to come here with friends and not regretting it. Had a little bit of everything. You really can't go wrong here.,2,1.0,5.0,4.6100467e-08,2.46875,1.0768417e-08,3.109375,1.0,5.0,3.499423e-13,4.375,0.006011963,3.75,5.1159077e-12,2.78125
"Had a graduation lunch for 11 guests. I would say the food is great. Cocktails were excellent, but a couple things really made me lower the review. The first was a few in the party kept empty water glasses for more than half of the meal. The reservation was towards the end of the brunch service. We had a few gifts/envelopes. We asked the server if we could sit them at the end of the next table. She said of course and that no one was going to be sat there until dinner service. GREAT. We sat the gifts there. About 10 minutes later a young hostess comes over and starts chatting with a guest of the family about the gifts and how they needed to seat a party. Well - they never sat a party. Lastly, another person came and chatted with my mother about a cake cutting fee for the graduation cake. I'm fine with a fee, but any issue a restaurant wants to discuss should be discussed with the reservation holder - not guests of the reservation holder. If you're going to charge a cutting fee and hold yourself out to be a finer dining establishment - have the quality of service as a finer dining establishment. Also have the candor and etiquette to match what you're professing. 

My advice - if you're looking to have a special occasion with more than 4 individuals - choose another place. If you're wanting a great dinner with a couple friends or spouse - this is excellent.",1,0.953125,5.0,2.0349944e-11,3.828125,0.0032196045,2.75,1.0,2.265625,2.0116568e-06,2.8125,2.4586916e-07,3.484375,8.821487e-06,2.109375
Finally got to go eat at Charley's! This place is overhyped and overpriced. Food was not great and my steak had to be sent back because it was rare and i ordered medium. Cooper's Hawk food is way better than here for a fraction of the price.,0,1.0,1.578125,1.154632e-13,4.375,1.191438e-10,1.3125,0.022338867,1.625,1.0,1.015625,0.030517578,1.171875,1.12322596e-10,1.7109375
"Last stop in NOLA and it was a good one! We stopped by around 11am and the line was long! But don't be deceived; we were in the door within 20 minutes. The way Mother's runs is different than your typical restaurant. You walk in and you wait in line to order food with the cashier. You would then take your receipt, find an empty table, and wait for a waiter to take your receipt and actually get your order going.
After finding a table, it took about 10 minutes or so to get the waiter's attention to take our receipt. In addition, it took another 15-20 minutes to get our food.
We ordered the Half Fried Chicken (breast, thigh, leg, wing) which comes with 2 sides for $15. I went with the French fries and beans & rice. I also got a freshly squeezed Orange Juice for ~$3 and their homemade biscuit for ~$2.
The fried chicken was really good, in my opinion. The fries were pretty addicting but they weren't out of the ordinary. The biscuit was soft but I wish it was warm. It also comes with butter and grape jelly.
Mother's is definitely worth the trip. They do go through a lot of customers in a short amount of time and their fried chicken is great! I'd definitely recommend coming here.",2,1.0,4.0,5.7816505e-06,4.46875,0.0015487671,3.671875,0.99609375,3.03125,0.99609375,4.65625,0.8984375,4.03125,0.98828125,3.921875
"Great place for when you're on the road traveling and trying to stay healthy!! Yogurt parfaits, along with snack packs that included hummus, carrots, pita & cheese are just a couple of the many many options! Wish there were more of these at other airports!",2,1.0,4.90625,0.04736328,5.0,1.5925616e-07,2.046875,8.277823e-13,4.03125,1.1439738e-12,4.28125,1.0,5.0,9.778887e-09,3.140625
"The food was excellent. The crab trio was a great appetizer (small portion). We got the chargrilled oysters which were ok - not the best chargrilled oysters I've had, but the oysters were fresh. It was just covered in cheese, nothing tasty. I had the Stinky Stew which was amazing. I'd say it's a portion for two to share, since it comes with a pressed/toasted po'boy as well. The crab legs were so fresh and tasty in the soup broth. The shrimp and oysters were also really good (broth was slightly salty). The mussels tasted a lil too seafoody to me. 
Only 4 stars? The service was aloof and slow, but we got that pretty much everywhere we went in New Orleans, so what can ya say. That's how they roll, I guess.",2,1.0,4.9375,5.052425e-08,4.09375,8.987263e-08,2.8125,1.0,2.0,2.927436e-12,3.78125,0.96875,5.0,0.9765625,1.796875
"Came in from Texas for vacation. Wanted something genuine to Tennessee and this place was recommended in passing. Parking situation was not great but that seems to be a problem all around town. Waited in line for 25-30 min but really wanted to try this place. Food was worth it! The chicken itself was delicious and I'm not even a huge fried chicken fan, I got the red skinned potato salad, baked beans and mild chicken and it was delicious. My boyfriend tried the pimento mac and cheese (he said it tasted like regular mac and cheese) and southern greens with mild chicken loved it all. Overall it was a fun atmosphere and delicious food. The people working here were very nice too. Happy Texans!",2,1.0,5.0,0.018798828,2.46875,1.0,5.0,0.97265625,5.03125,1.4708235e-12,3.75,0.92578125,4.09375,0.68359375,2.25
"Wish there was a drive thru.  It taste like a chain that used to be more prominent in the 80s (Mr Dans)  good chili and burgers.  Wish they carried Heinz ketchup vs watery cheap generic.   Dining area remains closed.  Using the old covid crutch. 

They have you wait outside in your car for your order, but catch 22, no way to know when your food is ready   Lol   Like what a stupid process that is.   Too much drama to get a burger.",1,0.9921875,3.8125,5.38826e-05,1.1328125,0.0042419434,1.1953125,1.0,1.2734375,7.901235e-12,3.875,0.70703125,3.140625,0.8984375,1.8203125
This has to be far and away the best pizza place I've ever been to. All of their food is amazingly delicious and affordable. The cheese steaks are always perfect and the cheese fries with extra mozzarella cheese are a must. Their specialty pizzas are perfect and not overloaded. Try the taco pizza or the bbq chicken pizza. An absolute must have.,2,1.0,5.0,7.7093887e-13,2.625,2.575689e-09,1.28125,7.851497e-13,4.28125,1.0,5.0,1.0,5.0,6.4801498e-12,2.0625
"Ralph's is my favorite Italian restaurant in Philadelphia.  Authentic food, great atmosphere, and a hard working staff keep it at the top of my list. The chicken parmigiana is big enough for two meals and never disappoints.",2,1.0,5.0,0.00024604797,3.15625,1.0,5.0,0.5703125,4.96875,4.867218e-13,4.375,0.734375,4.09375,9.521273e-13,3.265625
"Consider yourself warned!!  Don't waste your time!!  I don't usually leave bad reviews only positive ones, but our experience here was just that bad and I had to say something. We were one of two tables that were occupied in the place at 11:30AM.  Now I know why.  The service was the absolute worst and the food was just ok.  After finally waiting an eternity for someone to take our food order and for it to be prepared, we heard the cool yell order up.  We waited. The waiter went over and stood by our food and texted. We waited. He texted. We waited. He texted. He saw us just sitting there staring at him.  And he went back to texting.  I'm a polite guy but I was angry at this point.  I know how tough running a business is and I try to eat local.  I hope the owner reads this post, and gets his employees up to par. I'll never know because I won't be back.  $15 for a burger, fries, and drink before tip.  It was ok, but a burger for that price should be all that and more in my opinion.",0,1.0,2.015625,5.506706e-13,4.25,0.028808594,1.1796875,1.0,1.0,1.0,2.671875,0.15820312,2.03125,1.0,1.1484375
"This is a great stop over and a memorable experience. The hotel is nice and VERY clean.  The rooms are clean and housekeeping is attentive to requests you make during your stay.  We had absolutely no issues with finding a bite to eat as there are plenty of restaurants to fit every style and every budget.   The bellman service was really slow. We waited for about 25 minutes in the room when we arrived and since the luggage did not show up we simply went downstairs to find it.  The phone call we made just left us holding on the line for a longest time.  I think long wait times on the phone are common here.
  Soundwaves indoor water park was really awesome, kids had a blast!  They enjoyed the entire day at the place and did not want to leave mainly because they had much fun on the flowrider,  there are also several water slides. I really liked seeing ample amount of lifeguards in each area I give the water park 5 stars.  I wish the water park had the restaurant onsite and full service instead they had a cafe with limited choice so we ended up going out to the restaurants in the hotel to eat.    Our kids said that during the three days spent here they did not get bored. That's a plus in any parent's book :). The outdoor pool by the spa was open but the bar was not so you had to go inside the hotel to get refreshments.   

On the second day the hotel became very easy to navigate although originally it was quite intimidating.  


We will definitely stay here again.",2,0.000333786,1.8515625,0.0002632141,4.9375,0.00017547607,4.1875,1.0,2.359375,4.7683716e-05,4.0,0.15039062,2.015625,1.0,2.03125
"Running errands and in need of a quick lunch, so I stopped by the Atomic Cowboy. It was late lunchtime, closer to 1then 12. I picked a stool at my favorite place to dine, the bar. 

I started out with one of the neighbors down the street craft beers, UCBC Forest Park Pils. It's always one of my favorites, I order it all the time when I'm at UCBC. As I studied the menu, Poutinelicious jumped out at me. I wasn't that hungry, but wanted to satisfy the hunger pains. The menu described it as crispy fries topped with, smoked chicken, cheese curds, burnt onions and chicken love. I will say the toppings were correct and they did add flavor to the fries. However, I thought the fries were limp before the toppings were added. Should have gone with the Swordfish Tacos. 

Service was a little lack luster. The staff seemed more pre-occupied with doing prep work and getting prepared for the evening business. 

Will I return? - Yeah, I'll give them another try. 

When: February 27, 2017
Why: Lunch",1,1.0,2.953125,1.0535587e-08,3.796875,6.532669e-05,3.328125,1.0,2.1875,5.151435e-13,4.34375,0.9921875,4.0625,0.012390137,3.109375
I went here during happy hour for a couple drinks with my friends. I like the decor and the set up and the fact it is pretty close to my house. It is a good environment for a good conversation and catching up with a friend during happy hour. I would love to see what this place is like at night!,2,3.53495e-13,4.15625,0.9921875,4.9375,0.99609375,4.96875,3.2116532e-12,3.65625,7.412382e-11,2.5,2.469136e-13,4.03125,2.0918378e-11,1.8828125
"My family and I had a late breakfast/early lunch today at two chicks and we will be back! I had the salmon bene with the veggie fritters and sliced tomato instead of potatoes. Hubby had the ULTImelt omelette with hash browns and an english muffin. The flavored butter today was strawberry -- I had a bite of english muffin with it and it was really tasty and hubby said he really liked it. Our little guy had a grilled cheese sandwich that he really enjoyed too! 

I have to say that I really enjoyed my bene -- the salmon was too die for, lightly charred and very tasty and combined with the fresh dill and hollandaise, I can recommend this dish -- so good! 

We also shared a sourdough pancake that was also a treat. It wasn't thin like other sourdough pancakes I have had in the past, nice and fluffy with just a hint of tang. The only downside was they were out of duck eggs, so we will have to go earlier next time. Service was good, everything was hot, and good iced tea for me, hubby enjoyed his coffee and the little guy loved his chocolate milk!",2,1.0,5.0,1.2150281e-12,3.125,8.828938e-07,3.9375,1.0,4.96875,1.1155521e-12,4.15625,0.99609375,5.0,1.835823e-05,3.765625
Just stopped in for a plain slice of pizza for lunch. Young lady greeted me and showed me all their different pizzas. My slice was crisp and not greasy at all. That tells me they use quality ingredents. I definetly will be back.,2,1.0,5.0,6.785683e-13,3.546875,0.00022697449,2.140625,0.07373047,4.125,7.9580786e-13,4.03125,0.009643555,3.546875,3.7718564e-08,1.5546875
"These guys are the REAL DEAL.  Two weeks in a row:  outstanding!  Great taste, great menu, great value.  And nice!  Saw them again at #StickManBrews in Royersford.  Come back!",2,1.0,5.0,0.0002822876,3.703125,4.04194e-07,1.7734375,3.0994415e-05,4.71875,0.0234375,4.59375,1.0,5.0,3.1974423e-12,2.453125
"Great little hidden gem in Soulard! Thanks to Yelp for helping us find it when I was looking for a place for us to eat lunch before the Cardinals game. Menu has a nice variety, service was great, and although it was pretty empty when we were there, the atmosphere was inviting! 

We started with the toasted ravioli which was nothing special bit still good. For our meals we both had the Benton Park, mine with Caesar salad and my husband with potato salad. Yummy! 

While we didn't drink the cocktails they offered sounded great also.",2,1.0,4.03125,0.62109375,5.0,1.0,5.0,1.0,5.0,8.9883656e-13,3.953125,1.0,4.1875,2.764864e-09,1.1796875
"I love this neighborhood grocery store.  I've always found the TJ brand foods to be a great quality and the fresh flowers are so cheap and last so well. The staff is always so friendly and helpful.  Appreciate they are requiring masks, social distancing at registers and limiting entrance so I can grocery shop despite being in a higher-risk category.",2,2.0954758e-09,3.140625,1.3485551e-06,1.484375,3.6507845e-06,2.828125,1.0,5.0,0.0016098022,4.71875,4.156675e-13,3.734375,2.3646862e-11,1.546875
"It was my first experience ordering Pho specifically, you know as an entree.  I got the Pho Special.  It was very good and interesting.  I was surprised to find beef stomach lining and sliced beef tendons in there in addition to the meat balls and a couple kinds of sliced beef muscle.  I added some mixed veggies for $1 upcharge.  I was told there would be bok choy, but it was carrots, broccoli, and peapods.  The server was happy to give me to go containers for my leftovers because the large is very large.  I think I've had other Asian soups that I prefer over Pho.",2,1.0,4.0,1.04360964e-13,4.375,4.3213367e-07,1.453125,0.99609375,4.9375,0.34570312,4.0625,0.8515625,4.40625,7.21775e-09,1.8046875
"Awesome homemade ice cream!! Great selection of flavors, preparations, and at decent prices. Tucked into Wayne and a great place to bring the family. Parking is not bad, just be watchful for the long lines. 

We came here after a disappointing dinner somewhere at A place to never be mentioned again, in Wayne.  As we rolled-up, were a little daunted by the long line, but knew this place was going to be good because of the line. We gazed at the menu and were amazed by the shear number of flavors and selections of preparations for ice cream and frozen yogurt. I tired a couple flavors like chocolate cake batter and buckeye which were delicious. My friend enjoyed the graham central station. The servers were cool and patient. They also placed the ice cream in the cones properly with large to small scoops. I was pleased that the seemed knowledgable at flavors, taste, textures, and placement. 

If your in Wayne and you like ice cream, come here. One of the best places to go for ice cream!!",2,1.0,5.0,0.70703125,4.1875,0.0023040771,4.375,1.0,5.0,1.0,4.40625,1.0,5.0,0.037353516,3.703125
"I went to the Red Lobster in Levittown for the first time since I don't like the one on the Blvd which is the closest location near my home and the location I normally go to near my job was too far. Well I was very pleased! My server Stephanie P. was awesome! Everyone was very nice, the food was delicious and my extremely large(not complaining) piña colada was perfectly made. I had the pick two: Walt's shrimp & the coconut shrimp and I had no complaints. I will most definitely be back! This is my new favorite location!",2,1.0,5.0,0.88671875,5.03125,0.005554199,4.71875,1.0,5.0,4.888534e-12,3.734375,0.8125,3.9375,2.2846507e-09,3.265625
"Though the sauce leaked in the bag, the delivery was fast, burritos were big and delicious. Prices are not bad too. Will order again",2,1.0,5.0,4.405365e-13,4.375,2.5352165e-11,2.625,0.0024719238,4.0625,1.0,4.03125,0.024169922,3.875,1.0,5.0
"We were at the Franklin Institute and starting chatting with a couple who had kids that were playing on the science stuff with our kid.  Turns out the husband is Israeli and a caterer.  He said to me ""If you can, make sure to go to Mama's... I'm Israeli and I make food for a living, so I'm not easily impressed... it's the best in the world!""  Um, okay... you don't have to tell me twice!  So as soon as we finished at the museum, we walked a few blocks down to Mama's.  It was the Sunday of Memorial Day weekend (2014) and NOTHING around it was open... just Mama's... it was 1:30pm and it was BUSY!  Everyone working there was nice, friendly, offered samples, patient... awesome!  I had a large pita filled with falafel and eggplant with a little of the spicy sauce. So fresh!  So good!  My meat-eater husband LOVED it!  The fries were made to order... hot, fresh-cut, and perfect.  I seriously cannot recommend this enough!  Yes, it's cash only... and there are a billion banks and ATMs everywhere in Philadelphia.  Grab some cash, get in line, and thank me later.  You're welcome.",2,1.0,5.0,0.48632812,4.59375,0.11621094,4.8125,1.0,5.0,0.0010757446,2.96875,0.68359375,4.84375,0.0010604858,4.4375
"Beware of the great reviews as they are deceiving. I came in today and my server was a little pushy about yelping. She said that their boss wants them to yelp a review to boost their stars. 

Although my service was on point and I really loved my chicken parm, it's pretty sad that the servers have to tell the customers to post a 5 Star review. I gave them 3/5 bc the food here is ok for the price but maybe the ethics are a bit off. 

I'll try back on a busier night",0,1.0,3.96875,1.2789769e-13,4.375,1.4901161e-06,1.4140625,0.99609375,4.53125,0.8125,3.875,0.005065918,2.390625,8.702278e-06,2.4375
"Atmosphere was warm and friendly, staff was very polite, and the meal was very enjoyable.  Congrats to the new owners.  We will be returning.",2,0.9140625,4.0625,2.469136e-13,4.34375,1.0,5.0,1.0,5.0,2.6822988e-13,4.5,8.440111e-10,2.171875,4.2277293e-13,3.390625
"Great breakfast/lunch spot with so many different menu options! You have to sit out back on the patio if at all possible.. it's so cute and eclectic, not to mention dog friendly as well! I brought my pup here and everyone was so nice to him. Our waitress brought him a water bowl and milk Bones. They have a doggie menu too! My pup has a sensitive stomach so didn't order anything off of it.. maybe next time! I had the Mediterranean Veggie Wrap which was filled with chickpeas, cucumbers, olives, feta, lettuce, hummus,and tortilla strips.. delicious! My mom had the Tuna Salad Sandwich which was so fresh and tasty.  They both came with crinkle cut potato chips with the option to substitute them for sweet potato fries with an up charge. I definitely want to come back and try out their breakfast next time and highly recommend.",2,1.0,5.0,0.8515625,5.0,0.20214844,5.0,1.0,5.0,5.355105e-09,2.453125,1.0,5.0,3.754394e-09,1.40625
"Ok ST what's the deal? As locals we have enjoyed this food many times. But recently, your changes have made us not want to eat at your establishment again. We tried to order delivery one night, mind you an hour and a half before you we're closing, and were told by Lisa Marie that it would not be possible to get an order to us that night. We live 3 blocks away. That's lazy and a serious customer service issue. And tonight, we decided to once again try to get something delivered. We were told we could only pay cash and there would be a 15% surcharge for delivery. These are two things never asked of us before. These changes are a little ridiculous considering that in a few weeks you will be surviving off of local business, and most will pass you up for a more friendly establishment willing to help those that live here and help them, as well. Needless to say, though your food is decent, we will not be back. Tourists, do what you will, we all know you will go where you will and spend ridiculous amounts of money on half decent food. Locals, go elsewhere. Sukho Thai is not a friend to those of us who have eaten there and helped bring them business. Good luck in the coming slow season ST, you will need it.",0,0.99609375,2.828125,0.00064086914,3.53125,8.6426735e-07,1.1171875,1.0,1.0390625,0.86328125,3.03125,2.2172928e-05,1.1171875,0.123046875,1.578125
"If you are an adrenaline junky, or a heavy smoker with no more active tastebuds, you'll love place. no thought I was had decent spice tolerance.  I love to cook with chipotle peppers in almost everything, but this was well beyond my tolerance level.",1,0.99609375,2.0,1.5987212e-13,4.59375,2.2933818e-08,1.796875,2.3803182e-13,4.5625,2.753353e-13,4.5,0.45703125,3.859375,1.22818165e-08,4.34375
"If you want to like Mopho, you have to accept it for what it is. WARNING: IT IS NOT A VIETNAMESE RESTAURANT. There. I said it. Cat's out of the bag! This ain't no Pho Tau Bay. 

So now that we've got that out of the way, we can appreciate Mopho for what it IS: an amazing, modern, fusion restaurant that is oh so good.

The wings are seriously some of the best wings I've ever had. Perfectly spicy and tangy and full of lovely flavor. I'm craving them so hard right now.

The banh mis are also surprising delicious. I haven't once been disappointed. The sauce they put on them has some type of interesting, salty, sweet, tangy flavor that really just fits their flavor profile. Their oyster one is out of this world. 

The service..... is eh. But it IS a hipster restaurant. What do you expect?",2,1.0,5.0,3.6948222e-13,3.6875,0.0008544922,3.9375,1.0,2.0,4.3876014e-13,4.28125,1.0,5.0,4.7683716e-07,1.2890625
Once you like the communal style seating the food flows and it it a great diner and experience. The leg of lamb was juicy and delicious. Make sure you have a pecan punch and are hungry and you cannot go wrong.,2,1.0,5.0,5.933032e-13,3.78125,0.0004081726,3.421875,9.208634e-12,3.875,3.2684966e-13,4.5,0.96484375,4.09375,5.438924e-07,2.84375
"Wondering if things have changed since some of the older reviews with lower ratings, or we just had a terrific experience.

Whatever the case, a group of us (4) recently dropped in for dinner here on a Saturday, around 7:30, no reservation, just grabbed one of the outdoor tables to enjoy the perfect weather ... and were rewarded with a nearly perfect meal.

Service was good. Sangria (red) was very good. And the tapas we had all disappeared quickly. I don't recall every dish, and it probably doesn't matter anyway because you'll like whatever you like, but standouts for us included the octopus, chorizo, clams, and bean salad -- not all in the same dish, of course. 

Plenty of dining choices in that area, but we'd go back there in a minute and would certainly recommend it if you're a tapas fan like we are.",2,1.0,5.0,0.0008163452,4.46875,0.003036499,4.25,1.0,3.96875,1.8189894e-12,3.90625,0.85546875,4.1875,4.9591064e-05,3.828125
"Super clean place with amazing pastry selections, delicious coffee, and outstanding staff! Highly recommend.",2,0.27539062,4.53125,4.618528e-13,4.03125,0.036376953,4.75,1.0,5.0,3.8191672e-13,4.4375,0.21679688,3.984375,7.0699e-13,3.484375
"First time eating here as we usually go to Vietnam Cafe in Telford for Vietnamese food. We had the Pho (beef), shrimp with broken rice and summer rolls. It was all great and so was the waitstaff. It was a smokey inside from the cooking, but its still a better dining experience the the place in Telford.

Our new go-to Vietnamese restaurant!",2,1.0,5.0,1.9790605e-09,1.296875,0.84765625,2.765625,1.0,5.0,3.0553338e-13,4.5,0.11767578,3.78125,4.984031e-10,2.484375
"The atmosphere and service is solid.  I can't say the same for the food, though.  

I was pretty excited to hear of a place that labels itself as a ""cubano / creole cajun / caribe  place: especially when I saw that they served both Gumbo and Paella, two of my favorite dishes.  

The gumbo, however, tasted like a spicy minestrone soup with okra and no noodles.  I was pretty freaking disappointed.  

The paella was a big disappointment as well.  It had as much beans as it had rice, and very little flavor, despite the amount of seafood in it.  

Some people told me that I'm going to have to go back and have the tapas, which I'll approach with reservation.  Until then, I'd just say give it a try and see it for yourself.  I think I just came here with hopes that were too high.",1,1.0,1.0859375,3.375078e-13,3.9375,0.22851562,4.90625,0.05810547,4.96875,2.344791e-13,4.34375,0.123046875,3.15625,2.5465852e-11,1.8671875
"Do not order online groceries from Schnucks. We ordered groceries and they were mainly wrong. Weight of meat, duplicate items, it was a mess. The service is through a 3rd party and they pick the food out and drop it off. It was a mess and they refused to credit back everything they screwed up on. Watch out!",0,1.7695129e-08,1.3359375,2.6822988e-13,4.46875,3.424816e-12,3.0,1.0,1.0390625,2.4158453e-13,4.59375,2.6822988e-13,4.5625,2.8987415e-08,1.1484375
"Well, Rusty's does not value their faithful customers at all.  All I asked for was for them to change their refried beans to vegetarian like the used to be.  Its not like their world would end to insure a customer would continue to patronize to their establishment.  I would get their bean and cheese chimi a minimum of once a week, want proof look at the attached picture of their lunch cards and all the punches on them.  That does not include ALL the Saturday's that my husband and I would go there (they don't punch cards on the weekends), a minimum of 3 times a month. Rusty's will never ever see another dime of my money and I will bad mouth them every chance I get.  I suppose its just way to difficult to find another refried bean recipe than keep a customer.  Their choice.  Adios.",0,0.00025177002,1.734375,2.1760371e-13,4.46875,1.7881393e-05,1.0234375,0.9609375,1.015625,2.3305802e-12,4.46875,0.004272461,1.4921875,8.242205e-08,1.0625
"Have been here multiple times and every single time-- the food is on point- great flavors and comfort food; the vibe is fun- not only decor and ambiance, but the music is great. Staff is super friendly. 

Overall, great experience and delish food! 
Great for girls night or date night!",2,1.0,5.0,1.0160761e-12,3.375,0.96875,5.0,1.0,5.0,2.5401903e-13,4.40625,0.06689453,4.40625,5.883294e-12,2.015625
"Food is ok,. Last 2 times they screwed up the order 1. Ordered  2 burgers  for my husband and I  and after a 30 min wait they brought 1 because they thought we wanted to split it.  Then they had us wait because the manager had to get the change for the bill  tonight another message up medium burger was a hockey puck after another really long wait and check was 22.57 and when I got my change  they refunded up to 23.00 . Waitress said they have no change. It was in my favor ...we counted it .43 cents of my change. I said if it was  credit card I would have gotten my change. Minimallyrics adequate food a poor service last  couple of times=never going back.",0,1.0,2.015625,1.3233858e-13,4.375,0.002243042,1.0390625,1.0,1.0078125,0.031982422,3.640625,2.7380884e-07,1.1484375,0.98828125,1.6875
